Source Node,Destination Node,Node Type,Flow Capacity,Distance Between Nodes
Estación de Bombeo de Atarjea,Hogar Barranco 33,Consumption Point,32520,385
Estación de Bombeo de Atarjea,Hogar Barranco 34,Consumption Point,27799,148
Estación de Bombeo de Atarjea,Hogar Barranco 35,Consumption Point,57646,349
Estación de Bombeo de Atarjea,Hogar Barranco 36,Consumption Point,21008,340
Estación de Bombeo de Atarjea,Hogar Barranco 37,Consumption Point,43719,458
Estación de Bombeo de Atarjea,Hogar Barranco 38,Consumption Point,48449,107
Estación de Bombeo de Atarjea,Hogar Barranco 39,Consumption Point,59111,300
Estación de Bombeo de Atarjea,Hogar Barranco 40,Consumption Point,57552,193
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 1,Consumption Point,36143,177
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 2,Consumption Point,24207,264
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 3,Consumption Point,56341,441
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 4,Consumption Point,36192,283
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 5,Consumption Point,30856,320
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 6,Consumption Point,20450,414
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 7,Consumption Point,31408,263
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 8,Consumption Point,22754,487
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 9,Consumption Point,20617,199
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 10,Consumption Point,32637,124
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 11,Consumption Point,28249,205
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 12,Consumption Point,52835,264
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 13,Consumption Point,49882,350
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 14,Consumption Point,30661,393
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 15,Consumption Point,43059,220
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 16,Consumption Point,28916,354
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 17,Consumption Point,41297,477
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 18,Consumption Point,44697,122
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 19,Consumption Point,24393,381
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 20,Consumption Point,48280,145
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 21,Consumption Point,46968,457
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 22,Consumption Point,52570,397
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 23,Consumption Point,35875,192
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 24,Consumption Point,46120,149
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 25,Consumption Point,42157,408
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 26,Consumption Point,34122,349
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 27,Consumption Point,24611,429
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 28,Consumption Point,31832,344
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 29,Consumption Point,36476,114
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 30,Consumption Point,42889,244
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 31,Consumption Point,33599,410
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 32,Consumption Point,27769,406
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 33,Consumption Point,39636,497
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 34,Consumption Point,39542,299
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 35,Consumption Point,27652,343
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 36,Consumption Point,39950,230
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 37,Consumption Point,33600,306
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 38,Consumption Point,53762,341
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 39,Consumption Point,56705,325
Estación de Bombeo de Atarjea,Hogar Pueblo Libre 40,Consumption Point,36713,352
Estación de Bombeo de Atarjea,Hogar San Miguel 1,Consumption Point,45787,190
Estación de Bombeo de Atarjea,Hogar San Miguel 2,Consumption Point,39498,284
Estación de Bombeo de Atarjea,Hogar San Miguel 3,Consumption Point,34001,413
Estación de Bombeo de Atarjea,Hogar San Miguel 4,Consumption Point,50464,106
Estación de Bombeo de Atarjea,Hogar San Miguel 5,Consumption Point,29574,227
Estación de Bombeo de Atarjea,Hogar San Miguel 6,Consumption Point,28098,350
Estación de Bombeo de Atarjea,Hogar San Miguel 7,Consumption Point,24754,395
Estación de Bombeo de Atarjea,Hogar San Miguel 8,Consumption Point,22255,370
Estación de Bombeo de Atarjea,Hogar San Miguel 9,Consumption Point,44341,233
Estación de Bombeo de Atarjea,Hogar San Miguel 10,Consumption Point,29323,377
Estación de Bombeo de Atarjea,Hogar San Miguel 11,Consumption Point,26196,132
Estación de Bombeo de Atarjea,Hogar San Miguel 12,Consumption Point,57137,396
Estación de Bombeo de Atarjea,Hogar San Miguel 13,Consumption Point,57421,456
Estación de Bombeo de Atarjea,Hogar San Miguel 14,Consumption Point,30599,167
Estación de Bombeo de Atarjea,Hogar San Miguel 15,Consumption Point,47384,260
Estación de Bombeo de Atarjea,Hogar San Miguel 16,Consumption Point,45432,313
Estación de Bombeo de Atarjea,Hogar San Miguel 17,Consumption Point,44582,348
Estación de Bombeo de Atarjea,Hogar San Miguel 18,Consumption Point,50884,446
Estación de Bombeo de Atarjea,Hogar San Miguel 19,Consumption Point,53260,138
Estación de Bombeo de Atarjea,Hogar San Miguel 20,Consumption Point,29745,313
Estación de Bombeo de Atarjea,Hogar San Miguel 21,Consumption Point,44490,377
Estación de Bombeo de Atarjea,Hogar San Miguel 22,Consumption Point,47194,437
Estación de Bombeo de Atarjea,Hogar San Miguel 23,Consumption Point,53228,163
Estación de Bombeo de Atarjea,Hogar San Miguel 24,Consumption Point,54135,240
Estación de Bombeo de Atarjea,Hogar San Miguel 25,Consumption Point,27511,233
Estación de Bombeo de Atarjea,Hogar San Miguel 26,Consumption Point,22946,434
Estación de Bombeo de Atarjea,Hogar San Miguel 27,Consumption Point,59008,205
Estación de Bombeo de Atarjea,Hogar San Miguel 28,Consumption Point,54382,153
Estación de Bombeo de Atarjea,Hogar San Miguel 29,Consumption Point,58329,107
Estación de Bombeo de Atarjea,Hogar San Miguel 30,Consumption Point,44058,385
Estación de Bombeo de Atarjea,Hogar San Miguel 31,Consumption Point,23898,262
Estación de Bombeo de Atarjea,Hogar San Miguel 32,Consumption Point,21852,414
Estación de Bombeo de Atarjea,Hogar San Miguel 33,Consumption Point,22265,119
Estación de Bombeo de Atarjea,Hogar San Miguel 34,Consumption Point,50926,381
Estación de Bombeo de Atarjea,Hogar San Miguel 35,Consumption Point,49644,433
Estación de Bombeo de Atarjea,Hogar San Miguel 36,Consumption Point,44968,239
Estación de Bombeo de Atarjea,Hogar San Miguel 37,Consumption Point,21357,122
Estación de Bombeo de Atarjea,Hogar San Miguel 38,Consumption Point,32417,102
Estación de Bombeo de Atarjea,Hogar San Miguel 39,Consumption Point,36166,418
Estación de Bombeo de Atarjea,Hogar San Miguel 40,Consumption Point,49713,395
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 1,Consumption Point,42672,440
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 2,Consumption Point,54020,193
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 3,Consumption Point,34190,324
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 4,Consumption Point,30580,308
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 5,Consumption Point,44828,431
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 6,Consumption Point,36926,199
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 7,Consumption Point,32422,285
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 8,Consumption Point,44245,189
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 9,Consumption Point,58116,409
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 10,Consumption Point,28373,325
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 11,Consumption Point,51445,156
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 12,Consumption Point,44537,405
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 13,Consumption Point,29062,220
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 14,Consumption Point,54022,379
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 15,Consumption Point,35139,121
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 16,Consumption Point,37343,224
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 17,Consumption Point,37337,106
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 18,Consumption Point,51529,207
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 19,Consumption Point,53341,233
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 20,Consumption Point,32793,158
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 21,Consumption Point,47448,194
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 22,Consumption Point,26108,160
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 23,Consumption Point,29953,435
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 24,Consumption Point,55790,458
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 25,Consumption Point,49591,482
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 26,Consumption Point,35955,163
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 27,Consumption Point,53961,163
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 28,Consumption Point,34172,209
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 29,Consumption Point,33477,499
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 30,Consumption Point,51393,304
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 31,Consumption Point,46005,144
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 32,Consumption Point,44048,484
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 33,Consumption Point,40601,282
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 34,Consumption Point,33798,154
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 35,Consumption Point,40080,323
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 36,Consumption Point,40825,279
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 37,Consumption Point,39606,172
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 38,Consumption Point,33902,366
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 39,Consumption Point,21193,342
Estación de Bombeo de Atarjea,Hogar Magdalena del Mar 40,Consumption Point,37881,414
Estación de Bombeo de Atarjea,Hogar Jesús María 1,Consumption Point,53425,400
Estación de Bombeo de Atarjea,Hogar Jesús María 2,Consumption Point,51192,285
Estación de Bombeo de Atarjea,Hogar Jesús María 3,Consumption Point,56227,420
Estación de Bombeo de Atarjea,Hogar Jesús María 4,Consumption Point,29422,307
Estación de Bombeo de Atarjea,Hogar Jesús María 5,Consumption Point,42167,267
Estación de Bombeo de Atarjea,Hogar Jesús María 6,Consumption Point,33663,122
Estación de Bombeo de Atarjea,Hogar Jesús María 7,Consumption Point,34287,375
Estación de Bombeo de Atarjea,Hogar Jesús María 8,Consumption Point,41674,419
Estación de Bombeo de Atarjea,Hogar Jesús María 9,Consumption Point,36175,424
Estación de Bombeo de Atarjea,Hogar Jesús María 10,Consumption Point,56069,209
Estación de Bombeo de Atarjea,Hogar Jesús María 11,Consumption Point,31369,415
Estación de Bombeo de Atarjea,Hogar Jesús María 12,Consumption Point,38710,113
Estación de Bombeo de Atarjea,Hogar Jesús María 13,Consumption Point,51253,142
Estación de Bombeo de Atarjea,Hogar Jesús María 14,Consumption Point,23462,441
Estación de Bombeo de Atarjea,Hogar Jesús María 15,Consumption Point,42827,480
Estación de Bombeo de Atarjea,Hogar Jesús María 16,Consumption Point,47419,128
Estación de Bombeo de Atarjea,Hogar Jesús María 17,Consumption Point,42978,149
Estación de Bombeo de Atarjea,Hogar Jesús María 18,Consumption Point,35799,134
Estación de Bombeo de Atarjea,Hogar Jesús María 19,Consumption Point,30917,147
Estación de Bombeo de Atarjea,Hogar Jesús María 20,Consumption Point,27608,329
Estación de Bombeo de Atarjea,Hogar Jesús María 21,Consumption Point,21379,101
Estación de Bombeo de Atarjea,Hogar Jesús María 22,Consumption Point,20910,258
Estación de Bombeo de Atarjea,Hogar Jesús María 23,Consumption Point,45133,184
Estación de Bombeo de Atarjea,Hogar Jesús María 24,Consumption Point,54375,130
Estación de Bombeo de Atarjea,Hogar Jesús María 25,Consumption Point,21325,127
Estación de Bombeo de Atarjea,Hogar Jesús María 26,Consumption Point,32039,158
Estación de Bombeo de Atarjea,Hogar Jesús María 27,Consumption Point,45679,330
Estación de Bombeo de Atarjea,Hogar Jesús María 28,Consumption Point,47815,444
Estación de Bombeo de Atarjea,Hogar Jesús María 29,Consumption Point,38968,480
Estación de Bombeo de Atarjea,Hogar Jesús María 30,Consumption Point,48343,189
Estación de Bombeo de Atarjea,Hogar Jesús María 31,Consumption Point,55915,328
Estación de Bombeo de Atarjea,Hogar Jesús María 32,Consumption Point,28329,399
Estación de Bombeo de Atarjea,Hogar Jesús María 33,Consumption Point,29665,490
Estación de Bombeo de Atarjea,Hogar Jesús María 34,Consumption Point,53174,344
Estación de Bombeo de Atarjea,Hogar Jesús María 35,Consumption Point,20256,180
Estación de Bombeo de Atarjea,Hogar Jesús María 36,Consumption Point,59513,222
Estación de Bombeo de Atarjea,Hogar Jesús María 37,Consumption Point,39427,279
Estación de Bombeo de Atarjea,Hogar Jesús María 38,Consumption Point,58422,129
Estación de Bombeo de Atarjea,Hogar Jesús María 39,Consumption Point,20641,277
Estación de Bombeo de Atarjea,Hogar Jesús María 40,Consumption Point,40776,467
Estación de Bombeo de Atarjea,Hogar Lince 1,Consumption Point,45539,251
Estación de Bombeo de Atarjea,Hogar Lince 2,Consumption Point,55085,299
Estación de Bombeo de Atarjea,Hogar Lince 3,Consumption Point,40229,112
Estación de Bombeo de Atarjea,Hogar Lince 4,Consumption Point,29667,445
Estación de Bombeo de Atarjea,Hogar Lince 5,Consumption Point,23180,166
Estación de Bombeo de Atarjea,Hogar Lince 6,Consumption Point,23246,264
Estación de Bombeo de Atarjea,Hogar Lince 7,Consumption Point,32631,367
Estación de Bombeo de Atarjea,Hogar Lince 8,Consumption Point,40592,485
Estación de Bombeo de Atarjea,Hogar Lince 9,Consumption Point,31496,195
Estación de Bombeo de Atarjea,Hogar Lince 10,Consumption Point,50134,193
Estación de Bombeo de Atarjea,Hogar Lince 11,Consumption Point,26864,104
Estación de Bombeo de Atarjea,Hogar Lince 12,Consumption Point,21611,203
Estación de Bombeo de Atarjea,Hogar Lince 13,Consumption Point,21037,408
Estación de Bombeo de Atarjea,Hogar Lince 14,Consumption Point,34167,218
Estación de Bombeo de Atarjea,Hogar Lince 15,Consumption Point,33037,183
Estación de Bombeo de Atarjea,Hogar Lince 16,Consumption Point,36670,383
Estación de Bombeo de Atarjea,Hogar Lince 17,Consumption Point,44361,346
Estación de Bombeo de Atarjea,Hogar Lince 18,Consumption Point,22631,234
Estación de Bombeo de Atarjea,Hogar Lince 19,Consumption Point,20582,165
Estación de Bombeo de Atarjea,Hogar Lince 20,Consumption Point,53721,218
Estación de Bombeo de Atarjea,Hogar Lince 21,Consumption Point,30395,348
Estación de Bombeo de Atarjea,Hogar Lince 22,Consumption Point,45130,120
Estación de Bombeo de Atarjea,Hogar Lince 23,Consumption Point,43391,321
Estación de Bombeo de Atarjea,Hogar Lince 24,Consumption Point,25291,245
Estación de Bombeo de Atarjea,Hogar Lince 25,Consumption Point,33888,234
Estación de Bombeo de Atarjea,Hogar Lince 26,Consumption Point,32199,389
Estación de Bombeo de Atarjea,Hogar Lince 27,Consumption Point,31893,287
Estación de Bombeo de Atarjea,Hogar Lince 28,Consumption Point,26005,216
Estación de Bombeo de Atarjea,Hogar Lince 29,Consumption Point,57206,128
Estación de Bombeo de Atarjea,Hogar Lince 30,Consumption Point,49909,392
Estación de Bombeo de Atarjea,Hogar Lince 31,Consumption Point,58013,439
Estación de Bombeo de Atarjea,Hogar Lince 32,Consumption Point,24163,336
Estación de Bombeo de Atarjea,Hogar Lince 33,Consumption Point,32023,382
Estación de Bombeo de Atarjea,Hogar Lince 34,Consumption Point,48214,454
Estación de Bombeo de Atarjea,Hogar Lince 35,Consumption Point,56199,476
Estación de Bombeo de Atarjea,Hogar Lince 36,Consumption Point,44754,201
Estación de Bombeo de Atarjea,Hogar Lince 37,Consumption Point,56263,185
Estación de Bombeo de Atarjea,Hogar Lince 38,Consumption Point,27301,457
Estación de Bombeo de Atarjea,Hogar Lince 39,Consumption Point,34806,430
Estación de Bombeo de Atarjea,Hogar Lince 40,Consumption Point,25734,494
